city,year,weekofyear,total_cases
sj,2008,18,2
sj,2008,19,2
sj,2008,20,2
sj,2008,21,2
sj,2008,22,2
sj,2008,23,2
sj,2008,24,2
sj,2008,25,2
sj,2008,26,2
sj,2008,27,2
sj,2008,28,2
sj,2008,29,2
sj,2008,30,3
sj,2008,31,3
sj,2008,32,3
sj,2008,33,3
sj,2008,34,3
sj,2008,35,3
sj,2008,36,3
sj,2008,37,3
sj,2008,38,3
sj,2008,39,3
sj,2008,40,3
sj,2008,41,3
sj,2008,42,3
sj,2008,43,3
sj,2008,44,3
sj,2008,45,3
sj,2008,46,3
sj,2008,47,3
sj,2008,48,3
sj,2008,49,3
sj,2008,50,3
sj,2008,51,3
sj,2008,52,3
sj,2009,1,3
sj,2009,2,3
sj,2009,3,3
sj,2009,4,3
sj,2009,5,3
sj,2009,6,3
sj,2009,7,3
sj,2009,8,3
sj,2009,9,3
sj,2009,10,3
sj,2009,11,3
sj,2009,12,2
sj,2009,13,2
sj,2009,14,2
sj,2009,15,2
sj,2009,16,2
sj,2009,17,2
sj,2009,18,2
sj,2009,19,2
sj,2009,20,2
sj,2009,21,2
sj,2009,22,2
sj,2009,23,2
sj,2009,24,2
sj,2009,25,2
sj,2009,26,2
sj,2009,27,2
sj,2009,28,2
sj,2009,29,2
sj,2009,30,2
sj,2009,31,3
sj,2009,32,3
sj,2009,33,3
sj,2009,34,3
sj,2009,35,3
sj,2009,36,3
sj,2009,37,3
sj,2009,38,3
sj,2009,39,3
sj,2009,40,3
sj,2009,41,3
sj,2009,42,3
sj,2009,43,3
sj,2009,44,3
sj,2009,45,3
sj,2009,46,3
sj,2009,47,3
sj,2009,48,3
sj,2009,49,3
sj,2009,50,3
sj,2009,51,3
sj,2009,52,3
sj,2010,53,3
sj,2010,1,3
sj,2010,2,2
sj,2010,3,2
sj,2010,4,2
sj,2010,5,2
sj,2010,6,2
sj,2010,7,2
sj,2010,8,1
sj,2010,9,1
sj,2010,10,1
sj,2010,11,1
sj,2010,12,1
sj,2010,13,1
sj,2010,14,1
sj,2010,15,1
sj,2010,16,1
sj,2010,17,1
sj,2010,18,1
sj,2010,19,1
sj,2010,20,1
sj,2010,21,1
sj,2010,22,1
sj,2010,23,1
sj,2010,24,1
sj,2010,25,1
sj,2010,26,1
sj,2010,27,1
sj,2010,28,1
sj,2010,29,1
sj,2010,30,1
sj,2010,31,1
sj,2010,32,1
sj,2010,33,1
sj,2010,34,1
sj,2010,35,1
sj,2010,36,1
sj,2010,37,1
sj,2010,38,1
sj,2010,39,1
sj,2010,40,1
sj,2010,41,1
sj,2010,42,2
sj,2010,43,2
sj,2010,44,2
sj,2010,45,2
sj,2010,46,2
sj,2010,47,2
sj,2010,48,2
sj,2010,49,2
sj,2010,50,2
sj,2010,51,2
sj,2011,52,2
sj,2011,1,2
sj,2011,2,2
sj,2011,3,2
sj,2011,4,2
sj,2011,5,2
sj,2011,6,2
sj,2011,7,2
sj,2011,8,2
sj,2011,9,2
sj,2011,10,2
sj,2011,11,2
sj,2011,12,2
sj,2011,13,2
sj,2011,14,2
sj,2011,15,2
sj,2011,16,2
sj,2011,17,2
sj,2011,18,2
sj,2011,19,2
sj,2011,20,2
sj,2011,21,2
